election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,130 - TERRA CENTRE,230,7,831,111,30,1209,2372,163,2535,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,131 - EAGLE VIEW #1,106,14,419,44,20,603,1817,329,2146,33%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,132 - MONUMENT,443,32,807,182,51,1515,4821,690,5511,31%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,134 - UNIVERSITY,14,115,225,15,5,374,1728,437,2165,22%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,135 - IRVING,305,14,893,183,49,1444,2628,160,2788,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,136 - WOODSON #2,123,5,360,66,14,568,1062,67,1129,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,137 - SIDEBURN #2,339,13,696,140,25,1213,2006,162,2168,60%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,138 - EAGLE VIEW #2,198,9,525,148,50,930,1957,113,2070,48%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,201 - ARMSTRONG,408,27,1200,200,63,1898,3654,478,4132,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,202 - FLINT HILL #1,169,11,533,121,36,870,1510,85,1595,58%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,203 - FLORIS,383,24,1266,212,62,1947,3837,219,4056,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,204 - MADISON,48,2,270,63,19,402,982,98,1080,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,208 - RESTON #1,336,25,1106,202,66,1735,4261,797,5058,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,209 - RESTON #2,386,29,1114,244,68,1841,3967,376,4343,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,213 - VIENNA #1,341,19,1451,291,104,2206,4222,256,4478,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,214 - VIENNA #2,246,17,1192,200,88,1743,3313,247,3560,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,216 - VIENNA #4,108,12,517,108,37,782,1569,143,1712,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,218 - VIENNA #6,183,17,795,211,59,1265,2433,140,2573,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,219 - WESTBRIAR #1,144,19,596,98,36,893,1962,265,2227,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,220 - DOGWOOD,342,25,1161,247,63,1838,4337,423,4760,42%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,221 - HUNTERS WOODS,362,15,1048,215,61,1701,2713,159,2872,63%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,222 - RESTON #3,254,16,720,147,34,1171,2144,241,2385,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,223 - GLADE,384,21,1209,248,86,1948,3674,292,3966,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,224 - SOUTH LAKES,505,34,1366,333,84,2322,4499,452,4951,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,225 - HUGHES,333,28,1075,215,68,1719,3950,550,4500,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,226 - WOLFTRAP,257,17,1381,241,71,1967,3512,214,3726,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,227 - SUNRISE VALLEY #1,229,18,735,149,36,1167,1998,175,2173,58%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,229 - FOX MILL #1,443,22,1526,202,89,2282,4018,238,4256,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,233 - NORTH POINT,373,11,806,130,54,1374,2468,156,2624,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,234 - ALDRIN,390,28,946,168,41,1573,2832,294,3126,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,235 - FRYING PAN,197,8,902,146,35,1288,3152,315,3467,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,236 - STUART,152,9,505,70,20,756,1380,86,1466,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,237 - MCNAIR,216,26,921,159,53,1375,4067,580,4647,34%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,238 - CAMERON GLEN,625,23,943,240,51,1882,4189,797,4986,45%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,240 - COLVIN,268,15,778,124,54,1239,2481,148,2629,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,241 - FLINT HILL #2,133,13,571,75,37,829,1488,133,1621,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,242 - WESTBRIAR #2,177,6,603,122,39,947,1729,93,1822,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,243 - SUNRISE VALLEY #2,104,12,331,68,17,532,1034,56,1090,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,244 - FOX MILL #2,75,3,185,59,4,326,537,50,587,61%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,245 - PINEY RUN,119,5,316,61,11,512,1060,56,1116,48%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,301 - CHAIN BRIDGE,527,19,942,255,75,1818,3644,379,4023,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,302 - CHESTERBROOK,342,17,857,267,59,1542,2688,156,2844,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,303 - CHURCHILL,156,8,567,89,26,846,1631,101,1732,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,304 - COOPER,311,10,588,147,61,1117,2359,213,2572,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,305 - EL NIDO,289,14,814,156,53,1326,2408,161,2569,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,306 - GREAT FALLS,317,11,652,115,35,1130,2161,134,2295,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,307 - HAYCOCK,488,25,1356,280,95,2244,3943,228,4171,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,309 - KENMORE,487,28,1001,236,69,1821,4057,273,4330,45%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,310 - KIRBY,244,25,723,118,45,1155,2187,146,2333,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,311 - LANGLEY,268,7,660,139,33,1107,2083,221,2304,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,312 - LONGFELLOW,271,19,807,153,68,1318,2595,208,2803,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,314 - MCLEAN,438,12,640,165,50,1305,2740,241,2981,48%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,315 - PIMMIT,314,21,909,145,36,1425,3380,335,3715,42%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,316 - SALONA,360,12,866,196,63,1497,2797,218,3015,54%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,317 - WESTHAMPTON,110,8,319,65,27,529,971,63,1034,54%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,318 - WESTMORELAND,161,15,505,97,40,818,1532,115,1647,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,319 - HERNDON #1,477,9,1251,196,74,2007,4092,328,4420,49%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,320 - HERNDON #2,432,23,988,211,55,1709,4254,393,4647,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,321 - CLEARVIEW,377,26,1465,249,69,2186,3980,287,4267,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,322 - FORESTVILLE,461,17,916,183,58,1635,3298,233,3531,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,323 - SHOUSE,217,16,764,161,46,1204,2271,117,2388,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,324 - HERNDON #3,320,19,957,162,75,1533,3770,564,4334,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,325 - HUTCHISON,86,16,558,55,25,740,2337,309,2646,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,327 - SUGARLAND,454,25,1177,158,61,1875,3577,264,3841,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,328 - HICKORY,557,25,942,179,67,1770,3423,257,3680,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,329 - SENECA,447,23,1033,214,65,1782,3550,247,3797,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,331 - SPRING HILL,368,19,707,151,35,1280,2307,151,2458,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,332 - COATES,187,46,1084,163,61,1541,5193,962,6155,30%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,401 - BUSH HILL,285,28,1106,213,62,1694,3325,299,3624,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,402 - CAMERON,73,5,395,63,17,553,1161,103,1264,48%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,403 - FORESTDALE,100,9,364,51,9,533,1380,148,1528,39%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,404 - EDISON #1,184,9,457,135,38,823,1772,213,1985,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,405 - GROVETON,107,9,446,53,30,645,1957,415,2372,33%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,406 - HAYFIELD,191,13,918,139,60,1321,2298,204,2502,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,408 - MOUNT EAGLE,166,19,769,151,47,1152,2666,453,3119,43%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,409 - PIONEER,163,20,825,170,52,1230,3849,565,4414,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,410 - ROSE HILL,321,29,1320,274,89,2033,4646,486,5132,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,411 - VIRGINIA HILLS,136,12,777,106,42,1073,2348,237,2585,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,413 - FAIRFIELD,90,14,473,78,30,685,2668,376,3044,26%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,415 - CRESTWOOD,105,18,790,91,47,1051,2792,198,2990,38%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,417 - GARFIELD,173,16,882,147,40,1258,3936,349,4285,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,418 - LYNBROOK #1,57,4,449,56,17,583,2006,177,2183,29%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,419 - LANE,156,19,620,111,41,947,2426,250,2676,39%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,420 - VILLAGES,400,23,1246,319,96,2084,4481,625,5106,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,421 - KINGSTOWNE,243,17,841,197,59,1357,3425,546,3971,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,422 - VAN DORN,301,16,939,187,69,1512,3597,593,4190,42%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,423 - CLERMONT,224,19,931,161,59,1394,2713,232,2945,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,424 - HUNTLEY,232,12,931,141,55,1371,2617,282,2899,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,426 - GREENSPRING,57,29,871,203,56,1216,1657,129,1786,73%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,427 - ISLAND CREEK,178,21,896,126,49,1270,2693,276,2969,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,428 - PINEWOOD,203,20,629,139,45,1036,3265,403,3668,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,429 - HYBLA VALLEY,156,10,574,111,35,886,3473,634,4107,26%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,431 - WEST SPRINGFIELD,286,13,986,174,50,1509,2969,289,3258,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,432 - EDISON #2,216,24,807,214,49,1310,3266,468,3734,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,433 - LYNBROOK #2,6,1,38,2,4,51,178,8,186,29%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,501 - BAILEYS,260,28,782,154,41,1265,3584,423,4007,35%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,502 - BARCROFT,192,2,534,107,30,865,1397,68,1465,62%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,503 - BELVEDERE,195,5,519,111,22,852,1669,125,1794,51%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,504 - BRISTOW,73,11,585,84,27,780,2788,247,3035,28%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,505 - GLEN FOREST,172,15,688,114,38,1027,3071,316,3387,33%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,506 - HOLMES,21,8,138,17,4,188,781,65,846,24%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,507 - LINCOLNIA,248,29,827,156,48,1308,3446,487,3933,38%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,508 - MASONVILLE,188,10,728,87,37,1050,2160,128,2288,49%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,509 - PLAZA,17,7,280,18,6,328,1014,209,1223,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,510 - PARKLAWN,153,7,608,117,43,928,2311,161,2472,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,511 - RAVENWOOD,156,14,626,103,21,920,1726,128,1854,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,512 - SLEEPY HOLLOW,303,23,998,178,74,1576,3173,229,3402,50%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,513 - SAINT ALBANS,207,18,843,167,40,1275,2591,163,2754,49%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,514 - CROSSROADS,44,11,299,122,24,500,1174,169,1343,43%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,515 - WESTLAWN,81,13,471,63,24,652,1806,99,1905,36%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,516 - WEYANOKE,178,13,743,120,39,1093,3274,429,3703,33%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,517 - WILLSTON,69,18,399,49,11,546,1866,300,2166,29%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,518 - COLUMBIA,143,14,640,105,10,912,2810,317,3127,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,519 - HUMMER,121,8,538,106,32,805,2090,144,2234,39%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,520 - SKYLINE,179,8,387,106,29,709,2535,595,3130,28%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,521 - BROOK HILL,118,8,570,78,31,805,2304,205,2509,35%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,522 - CAMELOT,151,6,886,113,38,1194,2088,140,2228,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,523 - POE,208,9,729,130,49,1125,2829,248,3077,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,525 - WALNUT HILL,294,23,944,120,32,1413,3594,369,3963,39%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,526 - BREN MAR,179,33,938,164,50,1364,3702,485,4187,37%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,527 - EDSALL,75,13,594,78,34,794,2231,175,2406,36%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,528 - RIDGELEA,40,1,264,27,4,336,582,37,619,58%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,530 - TRIPPS,113,8,422,71,26,640,1799,221,2020,36%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,535 - FORT BUFFALO,105,11,507,68,42,733,2090,280,2370,35%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,536 - WOODBURN,145,3,445,83,21,697,1336,71,1407,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,601 - BELLE HAVEN,252,15,761,112,41,1181,2488,214,2702,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,602 - BELLEVIEW,241,12,715,104,33,1105,2117,306,2423,52%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,604 - BUCKNELL,315,19,824,153,44,1355,3828,687,4515,35%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,605 - FORT HUNT,426,8,874,98,47,1453,2458,175,2633,59%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,606 - HOLLIN HALL,548,20,955,166,43,1732,2803,174,2977,62%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,607 - HUNTINGTON,332,32,898,248,61,1571,3828,731,4559,41%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,608 - KIRKSIDE,371,11,659,126,29,1196,2063,171,2234,58%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,609 - MARLAN,349,26,759,128,44,1306,2365,145,2510,55%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,610 - SHERWOOD,318,13,582,94,21,1028,2311,210,2521,44%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,611 - STRATFORD,557,14,1108,159,40,1878,3093,164,3257,61%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,612 - WAYNEWOOD,206,4,536,74,17,837,1379,93,1472,61%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,613 - WESTGATE,457,18,1153,187,59,1874,3294,257,3551,57%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,614 - RIVERSIDE,316,8,718,124,30,1196,2125,170,2295,56%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,615 - WOODLEY,297,7,808,135,55,1302,3042,343,3385,43%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,616 - GUNSTON,175,10,663,87,28,963,2434,573,3007,40%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,617 - LORTON,245,28,738,121,41,1173,3797,510,4307,31%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,618 - NEWINGTON #1,107,12,829,87,20,1055,2254,181,2435,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,621 - GROSVENOR,120,21,565,89,39,834,2474,575,3049,34%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,622 - LORTON STATION,240,18,805,137,51,1251,3864,535,4399,32%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,623 - ALBAN,164,15,804,109,23,1115,2874,250,3124,39%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,627 - WOODLAWN #1,117,9,485,85,13,709,1992,301,2293,36%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,628 - LAUREL HILL #1,155,23,790,122,44,1134,3267,341,3608,35%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,629 - SOUTH COUNTY,186,11,671,173,45,1086,2381,246,2627,46%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,630 - ARMY,201,13,685,121,27,1047,2249,236,2485,47%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,631 - POHICK CREEK,221,7,438,169,33,868,2335,203,2538,37%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,632 - HALLEY #1,125,3,377,53,15,573,1079,68,1147,53%
2023 November General and Special Elections,11/7/2023 0:00,FAIRFAX COUNTY,633 - HALLEY #2,43,1,90,16,6,156,335,20,355,47%
